LibraryElement, DeclaringType, EntityKind, Count, Status
TailwindPOS.MainModule.ValidateUserPassword.UserID,TailwindPOS.MainModule.ValidateUserPassword.UserID,Type,1,1
TailwindPOS.frmSales.AddLine.price,TailwindPOS.frmSales.AddLine.price,Type,2,1
System.Windows.Forms.UserControl,System.Windows.Forms.UserControl,Type,2,1
TailwindPOS.MainModule.GetPOSSystems.conn,TailwindPOS.MainModule.GetPOSSystems.conn,Type,1,1
TailwindPOS.MainModule.set_POSSystems.value,TailwindPOS.MainModule.set_POSSystems.value,Type,1,1
System.Windows.Forms,System.Windows.Forms,Type,379,1
TailwindPOS.MainModule.SaveNewCustomer.TempParameter,TailwindPOS.MainModule.SaveNewCustomer.TempParameter,Type,7,1
TailwindPOS.MainModule.ValidateUserPassword.password,TailwindPOS.MainModule.ValidateUserPassword.password,Type,1,1
TailwindPOS.frmPayment.GetPayments.pay,TailwindPOS.frmPayment.GetPayments.pay,Type,5,1
TailwindPOS.MainModule.FindProductByCode.xmlhttp,TailwindPOS.MainModule.FindProductByCode.xmlhttp,Type,5,1
TailwindPOS.frmSales.ucNumericKeyPad_OnEnterEvent.newqty,TailwindPOS.frmSales.ucNumericKeyPad_OnEnterEvent.newqty,Type,2,1
System.Runtime.InteropServices.DllImportAttribute..ctor,System.Runtime.InteropServices.DllImportAttribute,Method,1,1
TailwindPOS.MainModule.SaveSale.Total,TailwindPOS.MainModule.SaveSale.Total,Type,1,1
TailwindPOS.ucNumbersPad.m_ShowChars,TailwindPOS.ucNumbersPad,Field,2,1
TailwindPOS.ucNumbersPad.commandButtonHelper1,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number7,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number8,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number9,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Back,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number4,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number5,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number6,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Clear,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number1,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number2,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number3,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Enter,TailwindPOS.ucNumbersPad,Field,18,1
TailwindPOS.ucNumbersPad.cb_Number0,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Number00,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.cb_Period,TailwindPOS.ucNumbersPad,Field,16,1
TailwindPOS.ucNumbersPad.txtAmount,TailwindPOS.ucNumbersPad,Field,59,1
TailwindPOS.ucNumbersPad.ToolTipMain,TailwindPOS.ucNumbersPad,Field,1,1
TailwindPOS.ucNumbersPad.components,TailwindPOS.ucNumbersPad,Field,3,1
TailwindPOS.ucNumbersPad.cb_Number7_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number8_Click,TailwindPOS.ucNumbersPad,Method,1,1
